Date,Time,CO2 (Indoor),CO2 (Outdoor),Air Temp. (Indoor),Air Temp. (Outdoor),RH% (Indoor),RH% (Outdoor)
15-02-2023,00:00:00,901,392,26.8,20.4,52.2,55.1
15-02-2023,00:15:00,1069,395,26.8,20.3,54,55.8
15-02-2023,00:30:00,1218,397,26.8,20.2,55.1,55.8
15-02-2023,00:45:00,1320,392,26.8,20.1,55.7,55.2
15-02-2023,01:00:00,1408,395,26.8,20.1,56.2,55.6
15-02-2023,01:15:00,1478,396,26.8,20,56.6,55.9
15-02-2023,01:30:00,1583,394,26.8,19.8,57.4,55
15-02-2023,01:45:00,1628,396,26.7,19.8,58,54.9
15-02-2023,02:00:00,1703,398,26.7,19.6,58.6,55.4
15-02-2023,02:15:00,1764,398,26.7,19.6,58.9,55.8
15-02-2023,02:30:00,1728,400,26.7,19.5,58.8,55.7
15-02-2023,02:45:00,1712,400,26.6,19.5,58.4,56
15-02-2023,03:00:00,1636,399,26.6,19.5,57.9,55.8
15-02-2023,03:15:00,1586,400,26.6,19.4,57.5,56.2
15-02-2023,03:30:00,1552,401,26.5,19.2,57.3,56.3
15-02-2023,03:45:00,1513,401,26.4,19.1,56.9,55.8
15-02-2023,04:00:00,1513,403,26.4,18.8,57,56.5
15-02-2023,04:15:00,1480,406,26.4,18.6,56.8,57.3
15-02-2023,04:30:00,1473,410,26.3,18.4,56.6,57.9
15-02-2023,04:45:00,1454,411,26.3,18.4,56.6,57
15-02-2023,05:00:00,1441,423,26.2,18.3,56.1,56.4
15-02-2023,05:15:00,1420,423,26.1,18.2,56.3,56.4
15-02-2023,05:30:00,1411,414,26.1,18.2,56.1,55.8
15-02-2023,05:45:00,1434,419,26.1,18.1,56.3,56.2
15-02-2023,06:00:00,1415,430,26,18.1,56,56.6
15-02-2023,06:15:00,1455,427,25.9,18,56.3,56.8
15-02-2023,06:30:00,1430,424,25.9,17.8,56.3,57.1
15-02-2023,06:45:00,1411,420,25.8,17.6,56.2,57.5
15-02-2023,07:00:00,1426,424,25.8,17.6,56.1,57.5
15-02-2023,07:15:00,1402,429,25.8,17.6,56,57.8
15-02-2023,07:30:00,1390,431,25.7,18.1,56.1,57.6
15-02-2023,07:45:00,1371,429,25.7,18.5,56.1,57
15-02-2023,08:00:00,1307,414,25.6,19.1,56,55.9
15-02-2023,08:15:00,1512,375,25.6,19.6,57.1,53.1
15-02-2023,08:30:00,1510,367,25.5,19.9,57.3,49.6
15-02-2023,08:45:00,1563,368,25.5,20.3,57.4,48.3
15-02-2023,09:00:00,1575,370,25.5,20.6,57.6,47.5
15-02-2023,09:15:00,678,372,25.2,21,50.6,46.9
15-02-2023,09:30:00,550,369,25.1,21.4,47.9,46
15-02-2023,09:45:00,515,379,25.1,21.8,47.5,44.3
15-02-2023,10:00:00,596,376,25.1,22.2,46.5,44.5
15-02-2023,10:15:00,545,389,25.1,22.6,47.2,44.4
15-02-2023,10:30:00,599,386,25.1,23,47.6,43.7
15-02-2023,10:45:00,604,380,25,23.4,49.2,42.7
15-02-2023,11:00:00,585,380,25.1,23.8,48.9,37.4
15-02-2023,11:15:00,672,369,25.1,24.3,51.5,33.5
15-02-2023,11:30:00,728,368,25.1,24.7,51.9,27
15-02-2023,11:45:00,790,370,25.1,24.8,52.8,27.5
15-02-2023,12:00:00,842,374,25.2,25.1,53.2,26.5
15-02-2023,12:15:00,874,370,25.4,25.4,53.3,27.9
15-02-2023,12:30:00,935,373,25.5,25.5,53.5,28.9
15-02-2023,12:45:00,804,371,25.5,25.7,47.9,29.9
15-02-2023,13:00:00,915,370,25.6,25.8,51.1,29.7
15-02-2023,13:15:00,995,371,25.6,26,51.9,29.3
15-02-2023,13:30:00,994,370,25.7,26.1,52.4,29.7
15-02-2023,13:45:00,1079,375,25.7,26.1,54,28.7
15-02-2023,14:00:00,1119,372,25.8,26.3,54.6,29.9
15-02-2023,14:15:00,1125,371,25.8,26.4,54.7,29.1
15-02-2023,14:30:00,1156,371,25.9,26.5,54.8,28.6
15-02-2023,14:45:00,1187,370,25.9,26.4,54.8,28.4
15-02-2023,15:00:00,1198,372,26,26.5,55.1,29.3
15-02-2023,15:15:00,1264,368,26.1,26.4,55.4,29.2
15-02-2023,15:30:00,1282,370,26.2,26.4,55.3,29.4
15-02-2023,16:00:00,1260,370,26.3,26.3,54.8,30.1
15-02-2023,16:15:00,1288,369,26.4,26.1,55.2,34.2
15-02-2023,16:30:00,1337,373,26.4,25.8,55.2,35.9
15-02-2023,16:45:00,1356,371,26.4,25.6,55.9,36.8
15-02-2023,17:00:00,1404,368,26.4,25.4,56.5,37.6
15-02-2023,17:15:00,1460,379,26.5,25.1,56.9,39.2
15-02-2023,17:30:00,1201,391,26.5,24.8,55.7,40.5
15-02-2023,17:45:00,1146,371,26.5,24.6,55.8,42.2
15-02-2023,18:00:00,1100,372,26.4,24.4,57,42.6
15-02-2023,18:15:00,953,368,26.4,24.1,55.9,44.4
15-02-2023,18:30:00,1060,372,26.5,23.8,58,45.6
15-02-2023,18:45:00,1147,369,26.6,23.6,58.8,46.3
15-02-2023,19:00:00,1101,376,26.5,23.4,57.8,46.7
15-02-2023,19:15:00,1170,375,26.6,23.3,58.9,48.1
15-02-2023,19:30:00,1069,375,26.5,23.1,57.2,49.1
15-02-2023,19:45:00,712,378,26.4,22.9,53.7,50.1
15-02-2023,20:00:00,650,375,26.4,22.8,52.2,48.1
15-02-2023,20:15:00,611,374,26.4,22.7,51.1,48.4
15-02-2023,20:30:00,507,376,26.2,22.6,49.8,48.2
15-02-2023,20:45:00,483,379,26.2,22.5,49.3,48.5
15-02-2023,21:00:00,471,384,26.1,22.3,47.5,49.7
15-02-2023,21:15:00,466,384,26,22.1,46.5,50.5
15-02-2023,21:30:00,580,383,26.1,21.9,47.9,51.7
15-02-2023,21:45:00,724,385,26.3,21.8,50.2,52.2
15-02-2023,22:00:00,827,393,26.4,21.6,51.7,53
15-02-2023,22:15:00,985,396,26.4,21.7,53.2,53.9
15-02-2023,22:30:00,977,391,26.3,21.6,54.7,56.2
15-02-2023,22:45:00,1012,386,26.2,21.6,55.6,57.9
15-02-2023,23:00:00,1045,385,26.3,21.3,56.1,60.3
15-02-2023,23:15:00,1052,381,26.2,21.3,56.6,62.7
15-02-2023,23:30:00,1059,382,26.2,21.1,57.1,63.6
15-02-2023,23:45:00,1041,384,26.1,21,57.4,64.3
16-02-2023,00:00:00,1029,386,26.1,20.9,57.7,65.8
16-02-2023,00:15:00,1023,397,26.1,20.7,57.9,66.4
16-02-2023,00:30:00,1017,401,26.1,20.6,58.2,66.9
16-02-2023,00:45:00,1031,406,26.1,20.6,58.2,66.9
16-02-2023,01:00:00,1031,410,26,20.6,58.4,66.2
16-02-2023,01:15:00,1042,413,26,20.6,58.5,65.9
16-02-2023,01:30:00,1045,411,26,20.5,58.5,65.2
16-02-2023,01:45:00,1043,409,26,20.4,58.6,65
16-02-2023,02:00:00,1025,406,25.9,20.4,58.7,64.8
16-02-2023,02:15:00,998,407,25.9,20.3,58.6,65
16-02-2023,02:30:00,993,404,25.8,20.3,58.8,65.1
16-02-2023,02:45:00,915,410,25.7,20,58.2,66.3
16-02-2023,03:00:00,804,406,25.5,19.8,57.6,66.8
16-02-2023,03:15:00,788,407,25.5,19.8,57.5,66.7
16-02-2023,03:30:00,792,410,25.5,19.8,57.5,67.4
16-02-2023,03:45:00,773,405,25.4,19.8,57,65.5
16-02-2023,04:00:00,768,403,25.4,19.8,56.7,65.5
16-02-2023,04:15:00,729,412,25.3,19.7,57.2,66.6
16-02-2023,04:30:00,716,416,25.2,19.5,57.1,67.6
16-02-2023,04:45:00,755,422,25.2,19.4,57.2,68.5
16-02-2023,05:00:00,766,422,25.1,19.3,57.3,69
16-02-2023,05:15:00,755,430,25.1,19.3,57.3,68.9
16-02-2023,05:30:00,775,430,25.1,19.3,57.4,68.4
16-02-2023,05:45:00,809,426,25.1,19.3,57.7,68.3
16-02-2023,06:00:00,815,424,25,19.2,58,68.4
16-02-2023,06:15:00,816,425,25,19.1,58.1,68.8
16-02-2023,06:30:00,834,412,25,19.2,58.3,67.3
16-02-2023,06:45:00,843,417,25,19.1,58.5,67.2
16-02-2023,07:00:00,859,415,25,19,58.6,67.5
16-02-2023,07:15:00,881,411,25,19.1,58.8,68
16-02-2023,07:30:00,893,412,25,19.4,59.1,68.6
16-02-2023,07:45:00,906,413,25,19.6,59.4,71.8
16-02-2023,08:00:00,900,392,24.9,19.8,60.1,74.5
16-02-2023,08:15:00,872,388,24.9,19.7,60.9,78.3
16-02-2023,08:30:00,761,391,24.9,19.8,61.5,72.7
16-02-2023,08:45:00,659,389,24.9,19.9,61.4,75.9
16-02-2023,09:00:00,590,386,24.8,20,63.9,78.4
16-02-2023,09:15:00,529,383,24.7,20.1,63.9,79.9
16-02-2023,09:30:00,516,383,24.6,20.6,64,78.4
16-02-2023,09:45:00,510,387,24.6,21,65.1,77.7
16-02-2023,10:00:00,522,380,24.7,21.5,65.5,76.7
16-02-2023,10:15:00,523,385,24.9,22.2,65.9,77.1
16-02-2023,10:30:00,502,375,25,22.7,66.2,74.8
16-02-2023,10:45:00,537,373,25.1,23.1,66,72.3
16-02-2023,11:00:00,514,376,25.1,23.5,64.9,67.6
16-02-2023,11:15:00,514,375,25.2,23.9,62.7,64.1
16-02-2023,11:30:00,476,372,25.3,24.2,62,57.6
16-02-2023,11:45:00,533,373,25.3,24.6,60.4,58.1
16-02-2023,12:00:00,625,375,25.3,24.8,60.2,53.2
16-02-2023,12:15:00,656,377,25.4,25,60.7,56.1
16-02-2023,12:30:00,704,373,25.5,25.2,59.7,51.8
16-02-2023,12:45:00,758,374,25.5,25.6,60,53.8
16-02-2023,13:00:00,675,376,25.6,25.7,58.3,51.3
16-02-2023,13:15:00,601,373,25.7,25.9,56.3,50.2
16-02-2023,13:30:00,552,373,25.8,26,55.5,53.2
16-02-2023,13:45:00,536,374,25.8,26,56.7,51.3
16-02-2023,14:00:00,527,374,25.9,26.2,56.2,52.4
16-02-2023,14:15:00,588,373,26,26.3,57.4,51.8
16-02-2023,14:30:00,553,373,26.1,26.4,56.7,51.3
16-02-2023,14:45:00,638,371,26.1,26.4,56.5,51.1
16-02-2023,15:00:00,625,366,26,26.4,57.3,53.8
16-02-2023,15:15:00,590,369,26,26.4,57.6,54.3
16-02-2023,15:30:00,679,369,26.1,26.2,58.4,54
16-02-2023,15:45:00,713,370,26.1,26.1,58.9,54.7
16-02-2023,16:00:00,749,370,26.1,26,59.6,54.9
16-02-2023,16:15:00,747,371,26.1,25.9,59.8,55.7
16-02-2023,16:30:00,791,372,26.1,25.8,60.4,56.7
16-02-2023,16:45:00,802,368,26.2,25.7,60.6,57.7
16-02-2023,17:00:00,840,373,26.2,25.5,61,58.1
16-02-2023,17:15:00,824,371,26.2,25.3,61.4,59.5
16-02-2023,17:30:00,849,367,26.3,25.2,61.9,60.1
16-02-2023,17:45:00,734,371,26.3,25,61.7,60.9
16-02-2023,18:00:00,728,380,26.3,24.8,61.9,62.1
16-02-2023,18:15:00,705,378,26.4,24.6,61.8,62.8
16-02-2023,18:30:00,663,387,26.4,24.4,61.6,63.7
16-02-2023,18:45:00,730,388,26.4,24.3,61.6,64
