Location,,testo 160 IAQ_51616135_outdoor [ppm],testo 160 IAQ_51616135_outdoor [°C],testo 160 IAQ_51616135_outdoor [mbar],testo 160 IAQ_51616135_outdoor [%RH],testo 160 IAQ_51616135_outdoor [°C td],testo 160 IAQ_51616135_outdoor [g/m³]
Measuring point group,,,,,,,
Area,,,,,,,
Lower limit value,,,,,,,
Upper limit value,,,,,,,
Mean value,,393,27.2,1002,73,21.5,19.1
Minimum value,,163,13.2,984,17.8,4,6
Maximum value,,573,41.3,1016,94.2,29,28.4
14-02-2023,00:00:00,401,22,1008,48.7,10.7,9.4
14-02-2023,00:15:00,399,21.8,1008,48.1,10.4,9.2
14-02-2023,00:30:00,391,21.7,1008,46.4,9.7,8.9
14-02-2023,00:45:00,391,21.6,1008,45.8,9.5,8.7
14-02-2023,01:00:00,389,21.5,1008,45.2,9.2,8.5
14-02-2023,01:15:00,392,21.5,1008,43.8,8.7,8.3
14-02-2023,01:30:00,390,21.5,1008,40.8,7.6,7.7
14-02-2023,01:45:00,390,21.5,1008,38.8,6.9,7.3
14-02-2023,02:00:00,386,21.5,1008,36.8,6.1,6.9
14-02-2023,02:15:00,388,21.3,1008,35.8,5.6,6.7
14-02-2023,02:30:00,386,21.1,1008,36.3,5.6,6.7
14-02-2023,02:45:00,389,20.9,1008,37.3,5.8,6.8
14-02-2023,03:00:00,389,20.6,1008,38.6,6.1,6.9
14-02-2023,03:15:00,386,20.4,1008,39.1,6,6.9
14-02-2023,03:30:00,387,20.2,1008,38.9,5.8,6.8
14-02-2023,03:45:00,387,20,1008,39.2,5.8,6.8
14-02-2023,04:00:00,390,19.9,1008,40.1,6,6.9
14-02-2023,04:15:00,388,19.8,1008,40,5.8,6.8
14-02-2023,04:30:00,392,19.6,1008,40.6,5.9,6.9
14-02-2023,04:45:00,395,19.5,1008,40.4,5.7,6.8
14-02-2023,05:00:00,384,19.4,1008,40.3,5.6,6.7
14-02-2023,05:15:00,387,19.3,1008,40.6,5.6,6.7
14-02-2023,05:30:00,387,19.3,1008,40.9,5.7,6.8
14-02-2023,05:45:00,385,19.2,1008,40.5,5.5,6.7
14-02-2023,06:00:00,393,18.9,1008,42,5.8,6.8
14-02-2023,06:15:00,430,18.9,1009,42.8,6,6.9
14-02-2023,06:30:00,435,18.8,1009,43.7,6.2,7
14-02-2023,06:45:00,431,18.8,1009,43.3,6.1,7
14-02-2023,07:00:00,446,18.8,1009,44,6.3,7.1
14-02-2023,07:15:00,435,18.8,1010,44.2,6.4,7.1
14-02-2023,07:30:00,432,18.9,1010,44.8,6.7,7.3
14-02-2023,07:45:00,416,19.2,1010,42.1,6.1,7
14-02-2023,08:00:00,398,19.5,1010,41.6,6.2,7
14-02-2023,08:15:00,377,19.8,1010,39.5,5.6,6.7
14-02-2023,08:30:00,374,20,1010,38.4,5.4,6.6
14-02-2023,08:45:00,375,20.4,1010,37.7,5.5,6.7
14-02-2023,09:00:00,377,20.9,1010,34.3,4.6,6.2
14-02-2023,09:15:00,375,21.2,1010,33.7,4.6,6.2
14-02-2023,09:30:00,377,21.5,1010,32.4,4.3,6.1
14-02-2023,09:45:00,374,21.9,1010,32.4,4.6,6.2
14-02-2023,10:00:00,375,22.1,1010,30.5,4,6
14-02-2023,10:15:00,378,22.4,1010,31.7,4.8,6.3
14-02-2023,10:30:00,377,22.7,1010,29.8,4.2,6
14-02-2023,10:45:00,383,23.1,1009,29.3,4.3,6.1
14-02-2023,11:00:00,380,23.2,1009,29.5,4.5,6.2
14-02-2023,11:15:00,386,23.5,1009,29.4,4.6,6.2
14-02-2023,11:30:00,376,23.7,1008,29.2,4.7,6.2
14-02-2023,11:45:00,375,23.9,1008,29.5,5,6.4
14-02-2023,12:00:00,377,24.1,1008,28.6,4.8,6.3
14-02-2023,12:15:00,380,24.4,1007,29.6,5.5,6.6
14-02-2023,12:30:00,374,24.5,1007,30,5.8,6.7
14-02-2023,12:45:00,376,24.7,1007,27.4,4.7,6.2
14-02-2023,13:00:00,375,24.9,1006,26.9,4.6,6.2
14-02-2023,13:15:00,374,25.1,1006,26.6,4.6,6.2
14-02-2023,13:30:00,376,25.3,1005,26.7,4.9,6.3
14-02-2023,13:45:00,371,25.3,1005,27.3,5.2,6.4
14-02-2023,14:00:00,371,25.5,1005,28.4,5.9,6.7
14-02-2023,14:15:00,375,25.5,1004,27.2,5.3,6.5
14-02-2023,14:30:00,370,25.6,1004,28.6,6.1,6.8
14-02-2023,14:45:00,372,25.8,1004,26.6,5.2,6.4
14-02-2023,15:00:00,373,25.8,1004,26,4.8,6.2
14-02-2023,15:15:00,373,25.7,1004,26.5,5.1,6.4
14-02-2023,15:30:00,374,25.8,1004,27.1,5.4,6.5
14-02-2023,15:45:00,375,25.7,1004,27.1,5.4,6.5
14-02-2023,16:00:00,374,25.7,1004,28.1,5.9,6.7
14-02-2023,16:15:00,375,25.6,1004,28.4,6,6.8
14-02-2023,16:30:00,378,25.5,1004,28.9,6.1,6.8
14-02-2023,16:45:00,375,25.4,1004,28.7,5.9,6.7
14-02-2023,17:00:00,376,25.2,1004,30,6.4,7
14-02-2023,17:15:00,375,24.9,1004,36.3,8.9,8.3
14-02-2023,17:30:00,375,24.5,1004,37.3,9,8.4
14-02-2023,17:45:00,377,24.2,1004,38.9,9.3,8.5
14-02-2023,18:00:00,382,23.9,1004,40.1,9.5,8.7
14-02-2023,18:15:00,384,23.6,1004,40.9,9.6,8.7
14-02-2023,18:30:00,378,23.4,1004,41.6,9.6,8.7
14-02-2023,18:45:00,382,23.1,1005,43,9.9,8.9
14-02-2023,19:00:00,379,23,1005,42.8,9.7,8.8
14-02-2023,19:15:00,382,22.9,1005,43.3,9.8,8.8
14-02-2023,19:30:00,385,22.7,1005,45.1,10.2,9.1
14-02-2023,19:45:00,393,22.4,1005,47.2,10.7,9.4
14-02-2023,20:00:00,396,22.3,1005,48,10.8,9.5
14-02-2023,20:15:00,387,22.2,1006,48.4,10.8,9.5
14-02-2023,20:30:00,390,22,1006,48.9,10.8,9.5
14-02-2023,20:45:00,385,21.8,1006,49.3,10.7,9.5
14-02-2023,21:00:00,388,21.7,1006,50.2,10.9,9.6
14-02-2023,21:15:00,389,21.6,1006,50.1,10.8,9.5
14-02-2023,21:30:00,389,21.5,1006,50.1,10.7,9.4
14-02-2023,21:45:00,388,21.4,1006,49.9,10.6,9.4
14-02-2023,22:00:00,386,21.3,1006,50.2,10.5,9.3
14-02-2023,22:15:00,385,21.1,1006,50.8,10.5,9.4
14-02-2023,22:30:00,388,21.1,1006,50.9,10.5,9.4
14-02-2023,22:45:00,386,20.9,1006,51.6,10.6,9.4
14-02-2023,23:00:00,380,20.9,1006,51.4,10.5,9.4
14-02-2023,23:15:00,383,20.8,1006,52.2,10.6,9.4
14-02-2023,23:30:00,392,20.6,1006,53.6,10.9,9.6
14-02-2023,23:45:00,386,20.5,1006,54.2,11,9.7
15-02-2023,00:00:00,392,20.4,1006,55.1,11.1,9.8
15-02-2023,00:15:00,395,20.3,1006,55.8,11.2,9.8
15-02-2023,00:30:00,397,20.2,1006,55.8,11.1,9.8
15-02-2023,00:45:00,392,20.1,1005,55.2,10.8,9.6
15-02-2023,01:00:00,395,20.1,1005,55.6,10.9,9.6
15-02-2023,01:15:00,396,20,1005,55.9,10.9,9.6
15-02-2023,01:30:00,394,19.8,1005,55,10.6,9.4
15-02-2023,01:45:00,396,19.8,1005,54.9,10.5,9.4
15-02-2023,02:00:00,398,19.6,1005,55.4,10.4,9.3
15-02-2023,02:15:00,398,19.6,1004,55.8,10.5,9.4
15-02-2023,02:30:00,400,19.5,1004,55.7,10.4,9.4
15-02-2023,02:45:00,400,19.5,1004,56,10.5,9.4
15-02-2023,03:00:00,399,19.5,1004,55.8,10.4,9.3
15-02-2023,03:15:00,400,19.4,1004,56.2,10.5,9.4
15-02-2023,03:30:00,401,19.2,1004,56.3,10.3,9.3
15-02-2023,03:45:00,401,19.1,1004,55.8,10.1,9.1
15-02-2023,04:00:00,403,18.8,1005,56.5,10,9.1
15-02-2023,04:15:00,406,18.6,1005,57.3,10,9.1
15-02-2023,04:30:00,410,18.4,1005,57.9,10,9.1
15-02-2023,04:45:00,411,18.4,1005,57,9.7,8.9
15-02-2023,05:00:00,423,18.3,1005,56.4,9.5,8.8
15-02-2023,05:15:00,423,18.2,1005,56.4,9.4,8.8
15-02-2023,05:30:00,414,18.2,1006,55.8,9.2,8.7
15-02-2023,05:45:00,419,18.1,1006,56.2,9.3,8.7
15-02-2023,06:00:00,430,18.1,1006,56.6,9.3,8.7
15-02-2023,06:15:00,427,18,1006,56.8,9.3,8.7
15-02-2023,06:30:00,424,17.8,1006,57.1,9.2,8.7
15-02-2023,06:45:00,420,17.6,1007,57.5,9.1,8.6
15-02-2023,07:00:00,424,17.6,1007,57.5,9.1,8.6
15-02-2023,07:15:00,429,17.6,1007,57.8,9.2,8.7
15-02-2023,07:30:00,431,18.1,1007,57.6,9.6,8.9
15-02-2023,07:45:00,429,18.5,1007,57,9.8,9
15-02-2023,08:00:00,414,19.1,1007,55.9,10.1,9.1
15-02-2023,08:15:00,375,19.6,1007,53.1,9.7,8.9
15-02-2023,08:30:00,367,19.9,1007,49.6,9.1,8.5
15-02-2023,08:45:00,368,20.3,1007,48.3,9.1,8.5
15-02-2023,09:00:00,370,20.6,1007,47.5,9.1,8.5
15-02-2023,09:15:00,372,21,1007,46.9,9.2,8.6
15-02-2023,09:30:00,369,21.4,1007,46,9.3,8.6
15-02-2023,09:45:00,379,21.8,1007,44.3,9.1,8.5
15-02-2023,10:00:00,376,22.2,1007,44.5,9.5,8.7
15-02-2023,10:15:00,389,22.6,1007,44.4,9.9,8.9
15-02-2023,10:30:00,386,23,1007,43.7,10,9
15-02-2023,10:45:00,380,23.4,1007,42.7,10,9
15-02-2023,11:00:00,380,23.8,1007,37.4,8.4,8
15-02-2023,11:15:00,369,24.3,1006,33.5,7.3,7.4
15-02-2023,11:30:00,368,24.7,1006,27,4.5,6.1
15-02-2023,11:45:00,370,24.8,1006,27.5,4.9,6.3
15-02-2023,12:00:00,374,25.1,1005,26.5,4.6,6.1
15-02-2023,12:15:00,370,25.4,1005,27.9,5.5,6.6
15-02-2023,12:30:00,373,25.5,1004,28.9,6.1,6.8
