Datetime,testo 160 IAQ_51616135_outdoor [ppm],testo 160 IAQ_51616135_outdoor [°C],testo 160 IAQ_51616135_outdoor [mbar],testo 160 IAQ_51616135_outdoor [%RH],testo 160 IAQ_51616135_outdoor [°C td],testo 160 IAQ_51616135_outdoor [g/m³]
2023-02-14 00:00:00,401.0,22.0,1008.0,48.7,10.7,9.4
2023-02-14 00:15:00,399.0,21.8,1008.0,48.1,10.4,9.2
2023-02-14 00:30:00,391.0,21.7,1008.0,46.4,9.7,8.9
2023-02-14 00:45:00,391.0,21.6,1008.0,45.8,9.5,8.7
2023-02-14 01:00:00,389.0,21.5,1008.0,45.2,9.2,8.5
2023-02-14 01:15:00,392.0,21.5,1008.0,43.8,8.7,8.3
2023-02-14 01:30:00,390.0,21.5,1008.0,40.8,7.6,7.7
2023-02-14 01:45:00,390.0,21.5,1008.0,38.8,6.9,7.3
2023-02-14 02:00:00,386.0,21.5,1008.0,36.8,6.1,6.9
2023-02-14 02:15:00,388.0,21.3,1008.0,35.8,5.6,6.7
2023-02-14 02:30:00,386.0,21.1,1008.0,36.3,5.6,6.7
2023-02-14 02:45:00,389.0,20.9,1008.0,37.3,5.8,6.8
2023-02-14 03:00:00,389.0,20.6,1008.0,38.6,6.1,6.9
2023-02-14 03:15:00,386.0,20.4,1008.0,39.1,6.0,6.9
2023-02-14 03:30:00,387.0,20.2,1008.0,38.9,5.8,6.8
2023-02-14 03:45:00,387.0,20.0,1008.0,39.2,5.8,6.8
2023-02-14 04:00:00,390.0,19.9,1008.0,40.1,6.0,6.9
2023-02-14 04:15:00,388.0,19.8,1008.0,40.0,5.8,6.8
2023-02-14 04:30:00,392.0,19.6,1008.0,40.6,5.9,6.9
2023-02-14 04:45:00,395.0,19.5,1008.0,40.4,5.7,6.8
2023-02-14 05:00:00,384.0,19.4,1008.0,40.3,5.6,6.7
2023-02-14 05:15:00,387.0,19.3,1008.0,40.6,5.6,6.7
2023-02-14 05:30:00,387.0,19.3,1008.0,40.9,5.7,6.8
2023-02-14 05:45:00,385.0,19.2,1008.0,40.5,5.5,6.7
2023-02-14 06:00:00,393.0,18.9,1008.0,42.0,5.8,6.8
2023-02-14 06:15:00,430.0,18.9,1009.0,42.8,6.0,6.9
2023-02-14 06:30:00,435.0,18.8,1009.0,43.7,6.2,7.0
2023-02-14 06:45:00,431.0,18.8,1009.0,43.3,6.1,7.0
2023-02-14 07:00:00,446.0,18.8,1009.0,44.0,6.3,7.1
2023-02-14 07:15:00,435.0,18.8,1010.0,44.2,6.4,7.1
2023-02-14 07:30:00,432.0,18.9,1010.0,44.8,6.7,7.3
2023-02-14 07:45:00,416.0,19.2,1010.0,42.1,6.1,7.0
2023-02-14 08:00:00,398.0,19.5,1010.0,41.6,6.2,7.0
2023-02-14 08:15:00,377.0,19.8,1010.0,39.5,5.6,6.7
2023-02-14 08:30:00,374.0,20.0,1010.0,38.4,5.4,6.6
2023-02-14 08:45:00,375.0,20.4,1010.0,37.7,5.5,6.7
2023-02-14 09:00:00,377.0,20.9,1010.0,34.3,4.6,6.2
2023-02-14 09:15:00,375.0,21.2,1010.0,33.7,4.6,6.2
2023-02-14 09:30:00,377.0,21.5,1010.0,32.4,4.3,6.1
2023-02-14 09:45:00,374.0,21.9,1010.0,32.4,4.6,6.2
2023-02-14 10:00:00,375.0,22.1,1010.0,30.5,4.0,6.0
2023-02-14 10:15:00,378.0,22.4,1010.0,31.7,4.8,6.3
2023-02-14 10:30:00,377.0,22.7,1010.0,29.8,4.2,6.0
2023-02-14 10:45:00,383.0,23.1,1009.0,29.3,4.3,6.1
2023-02-14 11:00:00,380.0,23.2,1009.0,29.5,4.5,6.2
2023-02-14 11:15:00,386.0,23.5,1009.0,29.4,4.6,6.2
2023-02-14 11:30:00,376.0,23.7,1008.0,29.2,4.7,6.2
2023-02-14 11:45:00,375.0,23.9,1008.0,29.5,5.0,6.4
2023-02-14 12:00:00,377.0,24.1,1008.0,28.6,4.8,6.3
2023-02-14 12:15:00,380.0,24.4,1007.0,29.6,5.5,6.6
2023-02-14 12:30:00,374.0,24.5,1007.0,30.0,5.8,6.7
2023-02-14 12:45:00,376.0,24.7,1007.0,27.4,4.7,6.2
2023-02-14 13:00:00,375.0,24.9,1006.0,26.9,4.6,6.2
2023-02-14 13:15:00,374.0,25.1,1006.0,26.6,4.6,6.2
2023-02-14 13:30:00,376.0,25.3,1005.0,26.7,4.9,6.3
2023-02-14 13:45:00,371.0,25.3,1005.0,27.3,5.2,6.4
2023-02-14 14:00:00,371.0,25.5,1005.0,28.4,5.9,6.7
2023-02-14 14:15:00,375.0,25.5,1004.0,27.2,5.3,6.5
2023-02-14 14:30:00,370.0,25.6,1004.0,28.6,6.1,6.8
2023-02-14 14:45:00,372.0,25.8,1004.0,26.6,5.2,6.4
2023-02-14 15:00:00,373.0,25.8,1004.0,26.0,4.8,6.2
2023-02-14 15:15:00,373.0,25.7,1004.0,26.5,5.1,6.4
2023-02-14 15:30:00,374.0,25.8,1004.0,27.1,5.4,6.5
2023-02-14 15:45:00,375.0,25.7,1004.0,27.1,5.4,6.5
2023-02-14 16:00:00,374.0,25.7,1004.0,28.1,5.9,6.7
2023-02-14 16:15:00,375.0,25.6,1004.0,28.4,6.0,6.8
2023-02-14 16:30:00,378.0,25.5,1004.0,28.9,6.1,6.8
2023-02-14 16:45:00,375.0,25.4,1004.0,28.7,5.9,6.7
2023-02-14 17:00:00,376.0,25.2,1004.0,30.0,6.4,7.0
2023-02-14 17:15:00,375.0,24.9,1004.0,36.3,8.9,8.3
2023-02-14 17:30:00,375.0,24.5,1004.0,37.3,9.0,8.4
2023-02-14 17:45:00,377.0,24.2,1004.0,38.9,9.3,8.5
2023-02-14 18:00:00,382.0,23.9,1004.0,40.1,9.5,8.7
2023-02-14 18:15:00,384.0,23.6,1004.0,40.9,9.6,8.7
2023-02-14 18:30:00,378.0,23.4,1004.0,41.6,9.6,8.7
2023-02-14 18:45:00,382.0,23.1,1005.0,43.0,9.9,8.9
2023-02-14 19:00:00,379.0,23.0,1005.0,42.8,9.7,8.8
2023-02-14 19:15:00,382.0,22.9,1005.0,43.3,9.8,8.8
2023-02-14 19:30:00,385.0,22.7,1005.0,45.1,10.2,9.1
2023-02-14 19:45:00,393.0,22.4,1005.0,47.2,10.7,9.4
